INFO 2025-03-03 21:25:27,027 autoreload Watching for file changes with StatReloader
INFO 2025-03-03 21:35:22,145 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:22,147 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:35:22,204 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:22,308 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:35:22,310 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:22,311 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:35:22,341 basehttp "GET /static/fonts/Shabwa.ttf HTTP/1.1" 200 51148
INFO 2025-03-03 21:35:22,347 basehttp "GET /static/bootstrap5/bootstrap-icons.woff2 HTTP/1.1" 200 130396
INFO 2025-03-03 21:35:22,398 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:22,400 basehttp "GET /static/fonts/Shabwa-Bold.ttf HTTP/1.1" 200 49452
INFO 2025-03-03 21:35:22,401 basehttp "GET /static/fonts/Shabwa-Medium.ttf HTTP/1.1" 200 51776
INFO 2025-03-03 21:35:22,500 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:35:22,512 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:35:22,517 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:22,569 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:22,629 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:35:22,634 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:35:22,635 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:22,709 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:22,924 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:35:22,926 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:22,929 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:35:22,976 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:23,060 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:35:23,066 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:35:23,067 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:23,121 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:23,216 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:35:23,219 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:23,221 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
INFO 2025-03-03 21:35:23,264 basehttp "GET / HTTP/1.1" 200 4586658
INFO 2025-03-03 21:35:23,324 basehttp "GET /static/css/style.css HTTP/1.1" 200 6668
INFO 2025-03-03 21:35:23,327 basehttp "GET /static/bootstrap5/bootstrap-icons.css HTTP/1.1" 200 65625
INFO 2025-03-03 21:35:23,329 basehttp "GET /static/bootstrap5/bootstrap.rtl.css HTTP/1.1" 200 280259
